n,p,pi_estimate,error,time
1024,1,3.07812500000000000000,0.06346765358979311600,0.000012
1024,2,3.07031250000000000000,0.07128015358979311600,0.000119
1024,4,3.06250000000000000000,0.07909265358979311600,0.000121
1024,8,3.10546875000000000000,0.03612390358979311600,0.000155
1024,16,3.07812500000000000000,0.06346765358979311600,0.000289
1048576,1,3.14075851440429687500,0.00083413918549624100,0.006094
1048576,2,3.14266586303710937500,0.00107320944731625900,0.003229
1048576,4,3.14073181152343750000,0.00086084206635561600,0.001645
1048576,8,3.14082717895507812500,0.00076547463471499100,0.001019
1048576,16,3.14088058471679687500,0.00071206887299624100,0.001164
16777216,1,3.14076685905456542969,0.00082579453522768631,0.097452
16777216,2,3.14139652252197265625,0.00019613106782045975,0.049110
16777216,4,3.14159417152404785156,0.00000151793425473556,0.024871
16777216,8,3.14114093780517578125,0.00045171578461733475,0.013012
16777216,16,3.14123630523681640625,0.00035634835297670975,0.007291
268435456,1,3.14158809185028076172,0.00000456173951235428,1.556961
268435456,2,3.14158767461776733398,0.00000497897202578201,0.784921
268435456,4,3.14158767461776733398,0.00000497897202578201,0.392297
268435456,8,3.14146743714809417725,0.00012521644169893875,0.197316
268435456,16,3.14158941805362701416,0.00000323553616610184,0.100295
1073741824,1,3.14158809185028076172,0.00000456173951235428,6.222217
1073741824,2,3.14158767461776733398,0.00000497897202578201,3.135352
1073741824,4,3.14158767461776733398,0.00000497897202578201,1.568144
1073741824,8,3.14158767461776733398,0.00000497897202578201,0.785658
1073741824,16,3.14158767461776733398,0.00000497897202578201,0.394726
1024,16,3.07812500000000000000,0.06346765358979311600,0.000312
4096,16,3.11425781250000000000,0.02733484108979311600,0.000437
16384,16,3.11035156250000000000,0.03124109108979311600,0.000301
65536,16,3.13317871093750000000,0.00841394265229311600,0.000449
262144,16,3.14144897460937500000,0.00014367898041811600,0.000374
1048576,16,3.14088058471679687500,0.00071206887299624100,0.000708
4194304,16,3.14068984985351562500,0.00090280373627749100,0.001838
16777216,16,3.14123630523681640625,0.00035634835297670975,0.006552
67108864,16,3.14170527458190917969,0.00011262099211606369,0.024996
268435456,16,3.14158941805362701416,0.00000323553616610184,0.098673
1073741824,16,3.14158767461776733398,0.00000497897202578201,0.393222
